epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,420.575,0.75046,4.93035,0.30994,0.49338,1.15532,0.95817,0.97121,0.99016,0.83921,0.80523,0.64491,0.65757,0.38752,0.73099,3.87986,0.09678,0.38724,1.1022,0.0008714,0.0008714,0.0008714
59,427.707,0.71908,4.82746,0.30527,0.46581,1.12925,0.95962,0.95792,0.98861,0.84411,0.83508,0.64299,0.67113,0.38749,0.7024,3.86699,0.10552,0.37803,1.07759,0.0008516,0.0008516,0.0008516
60,434.84,0.73803,4.93804,0.31054,0.48787,1.14103,0.95425,0.96088,0.98758,0.84407,0.82009,0.6334,0.66018,0.39553,0.70541,3.82713,0.10437,0.38298,1.07509,0.0008318,0.0008318,0.0008318
61,441.997,0.74786,4.99733,0.30845,0.48344,1.14262,0.95704,0.97505,0.98848,0.83951,0.82806,0.64107,0.65105,0.37634,0.73058,3.93736,0.10371,0.38758,1.10276,0.000812,0.000812,0.000812
62,449.122,0.7317,4.92076,0.31431,0.48608,1.13947,0.96174,0.96483,0.98869,0.83665,0.83632,0.62765,0.65969,0.39181,0.71426,3.77942,0.09198,0.38536,1.08737,0.0007922,0.0007922,0.0007922
63,456.201,0.72816,4.80818,0.30425,0.46496,1.13867,0.97105,0.96586,0.98948,0.85231,0.82849,0.65827,0.70017,0.41911,0.72475,3.7919,0.10107,0.3815,1.09785,0.0007724,0.0007724,0.0007724
64,463.32,0.71813,4.7518,0.30814,0.46161,1.13268,0.96429,0.96545,0.99033,0.83315,0.83482,0.66411,0.69838,0.40165,0.73834,3.76985,0.09801,0.37799,1.10593,0.0007526,0.0007526,0.0007526
65,470.413,0.73915,4.83764,0.30604,0.48435,1.14272,0.95476,0.97222,0.98547,0.85535,0.82836,0.66695,0.70713,0.4312,0.6928,3.67098,0.08988,0.36649,1.07404,0.0007328,0.0007328,0.0007328
66,477.536,0.71206,4.67159,0.30598,0.45881,1.13729,0.94332,0.98273,0.98812,0.85146,0.8191,0.65451,0.68388,0.42114,0.71419,3.71675,0.09489,0.37379,1.08557,0.000713,0.000713,0.000713
67,484.627,0.72228,4.79282,0.30256,0.46611,1.13017,0.95501,0.98656,0.98944,0.84827,0.81818,0.67179,0.70277,0.41462,0.71247,3.72812,0.10068,0.37174,1.08748,0.0006932,0.0006932,0.0006932
68,491.722,0.70921,4.76151,0.3074,0.45886,1.12656,0.97096,0.97505,0.9894,0.8563,0.83005,0.67562,0.72053,0.43889,0.70294,3.6426,0.09342,0.36891,1.08188,0.0006734,0.0006734,0.0006734
69,498.816,0.71857,4.59228,0.29859,0.45358,1.12851,0.95834,0.97132,0.98921,0.85119,0.81321,0.66603,0.70154,0.43662,0.69993,3.58411,0.09886,0.36258,1.07641,0.0006536,0.0006536,0.0006536
70,505.939,0.71687,4.647,0.30483,0.46536,1.12768,0.9564,0.97313,0.98705,0.84779,0.82658,0.66795,0.69754,0.43372,0.69768,3.58284,0.09114,0.37022,1.07854,0.0006338,0.0006338,0.0006338
71,513.012,0.71278,4.70385,0.29866,0.45237,1.12377,0.96039,0.97737,0.99068,0.85812,0.82024,0.65835,0.70063,0.43937,0.67826,3.5745,0.10462,0.35634,1.06526,0.000614,0.000614,0.000614
72,520.131,0.70202,4.539,0.29322,0.45193,1.11877,0.9679,0.96929,0.98817,0.84378,0.81089,0.68312,0.72321,0.45341,0.73392,3.53428,0.10137,0.36999,1.09755,0.0005942,0.0005942,0.0005942
73,527.245,0.69643,4.62652,0.29926,0.44554,1.1201,0.96214,0.96545,0.98939,0.85812,0.8062,0.67754,0.71304,0.45709,0.70381,3.5565,0.09875,0.36882,1.07537,0.0005744,0.0005744,0.0005744
74,534.342,0.70364,4.54901,0.29593,0.44457,1.11286,0.96022,0.97282,0.99013,0.8593,0.81913,0.678,0.71662,0.45085,0.69111,3.54204,0.10341,0.35713,1.06669,0.0005546,0.0005546,0.0005546
75,541.439,0.68431,4.43949,0.29494,0.43527,1.10724,0.96917,0.98273,0.99113,0.86141,0.8365,0.68138,0.72663,0.45834,0.6848,3.47467,0.09076,0.3484,1.06631,0.0005348,0.0005348,0.0005348
