epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,291.048,0.40171,8.65964,0,0.26569,0.94705,0.99329,1,0.995,0.94212,0,0,0,0,0.36089,7.1411,0,0.19682,0.87647,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,296.607,0.39035,8.53258,0,0.26418,0.93252,0.96705,1,0.99403,0.94045,0,0,0,0,0.35657,7.02076,0,0.19856,0.87139,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,301.824,0.40196,8.55257,0,0.27085,0.95058,0.9677,0.99872,0.99403,0.93676,0,0,0,0,0.38049,7.06519,0,0.20795,0.8747,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,307.245,0.39535,8.51661,0,0.27702,0.93868,0.96766,0.9975,0.99403,0.93288,0,0,0,0,0.36868,6.99445,0,0.22566,0.87575,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,312.481,0.38831,8.50461,0,0.263,0.94503,0.9677,0.99882,0.99403,0.94461,0,0,0,0,0.36011,6.91668,0,0.2266,0.87264,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,318.04,0.38915,8.55316,0,0.27132,0.9446,0.9665,0.98333,0.99387,0.94725,0,0,0,0,0.35935,6.87621,0,0.22409,0.8716,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,323.353,0.37461,8.45857,0,0.26721,0.93671,0.96774,0.99979,0.99403,0.94871,0.01679,0.01667,0.00649,0.00065,0.35544,6.85637,0,0.21781,0.87604,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,328.881,0.38584,8.38578,0,0.26938,0.9447,0.96622,1,0.99369,0.9382,0,0,0,0,0.37569,6.93279,0,0.21831,0.89495,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,334.238,0.38036,8.41468,0,0.26119,0.94249,0.9667,1,0.99403,0.94461,0,0,0,0,0.3588,6.8335,0,0.22501,0.87982,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,339.87,0.38572,8.35619,0,0.26846,0.93284,0.98649,0.96667,0.99387,0.94513,0,0,0,0,0.37033,6.76154,0,0.21249,0.88019,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,345.234,0.37123,8.32301,0,0.25525,0.93761,0.9833,0.98107,0.99419,0.93916,0,0,0,0,0.3653,6.69137,0,0.22516,0.8772,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,350.836,0.3723,8.29522,0,0.25793,0.93961,0.96677,1,0.99401,0.94983,0.01665,0.01667,0.00668,0.00067,0.34625,6.74728,0,0.21415,0.86724,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,356.159,0.37638,8.19763,0,0.25527,0.94774,0.96687,1,0.99434,0.94901,0,0,0,0,0.35155,6.69204,0,0.22079,0.86437,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
